# 冻结考卷(held-out)。写风格分析时禁止读取。种子=42
篇目	字数	sha256_16
呐喊·狂人日記	4818	ccf495842b62c07d
呐喊·白光	2895	084384133a1e1d66
呐喊·藥	4581	a05dbad6341e50ed
呐喊·阿Ｑ正傳	21394	57177a5b019edc73
呐喊·風波	4306	fa14ca4bf23f072d
彷徨·孤獨者	11903	afacb522d1b63da4
彷徨·弟兄	5628	d842c3d3a7aa1f99
彷徨·示衆	2775	31aa335d98df3470
