# 冻结考卷(held-out)。写风格分析时禁止读取。种子=42
篇目	字数	sha256_16
福尔摩斯回忆录	417087	4da4986bba6fd8da
福尔摩斯归来	492932	036ea2ede0e19d06
血字的研究	194992	6446a09d98e39306
