名	语种	原名	作者页	作品	页数	字数	状态
普鲁斯特	fr	Marcel Proust	Auteur:Marcel Proust	works41	250	32008109	ok
加缪	fr	Albert Camus	Auteur:Albert Camus	works1	0	0	空
萨特	fr	Jean-Paul Sartre		无作者页	0	0	未找到
杜拉斯	fr	Marguerite Duras		无作者页	0	0	未找到
大仲马	fr	Alexandre Dumas	Auteur:Alexandre Dumas	works104	1985	66544445	ok
凡尔纳	fr	Jules Verne	Auteur:Jules Verne	works101	1979	70211945	ok
圣埃克苏佩里	fr	Antoine de Saint-Exupéry	Auteur:Antoine de Saint-Exupéry	works0	0	0	空
波德莱尔	fr	Charles Baudelaire	Auteur:Charles Baudelaire	works80	995	23855064	ok
兰波	fr	Arthur Rimbaud	Auteur:Arthur Rimbaud	works44	431	8363106	ok
塞利纳	fr	Louis-Ferdinand Céline	Auteur:Louis-Ferdinand Céline	works2	2	6927	ok
歌德	de	Johann Wolfgang von Goethe	Seite:Elegien (Goethe).djvu/44	works2	2	55167	ok
席勒	de	Friedrich Schiller	Seite:Schiller-Galerie.pdf/11	works2	2	18335	ok
卡夫卡	de	Franz Kafka	Seite:De Kafka Betrachtung v 001.png	works2	2	5575	ok
托马斯·曼	de	Thomas Mann	Seite:Samuel zieht die Bilanz und Tomi melkt die Moralkuh oder Zweier Könige Sturz.pdf/86	works2	2	188813	ok
黑塞	de	Hermann Hesse	Seite:LA2-Blitz-0155.jpg	works8	8	843835	ok
里尔克	de	Rainer Maria Rilke	Seite:Das Stundenbuch (Rilke) 001.jpg	works2	4	113443	ok
茨威格	de	Stefan Zweig	Seite:Buchmendel.pdf/31	works1	1	66173	ok
伯恩哈德	de	Thomas Bernhard	Seite:OANeckarsulm0628.jpg	works3	44	1667835	ok
布莱希特	de	Bertolt Brecht	Seite:Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit (Dritte Fassung).pdf/14	works2	2	189994	ok
